id_cliente,genero,cidadao_senior,parceiro,dependentes,permanencia_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,contrato,fatura_sem_papel,metodo_pagamento,cobrancas_mensais,cobrancas_totais,evasao,ticket_medio,cliente_novo
7310-egvhz,masculino,0,nao,nao,1,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,transferencia_bancaria,20.2,20.2,0,10.1,1
3413-bmnze,masculino,1,nao,nao,1,sim,nao,dsl,nao,nao,nao,nao,nao,nao,mensal,nao,transferencia_bancaria,45.25,45.25,0,22.625,1
6234-raapl,feminino,0,sim,sim,72,sim,sim,fibra_otica,sim,sim,nao,sim,sim,nao,dois_anos,nao,transferencia_bancaria,99.9,7251.7,0,99.33835616438355,0
6047-yhpvi,masculino,0,nao,nao,5,sim,nao,fibra_otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque_eletronico,69.7,316.9,1,52.81666666666666,1
6572-adkrs,feminino,0,nao,nao,46,sim,nao,fibra_otica,nao,nao,sim,nao,nao,nao,mensal,sim,cartao_credito,74.8,3548.3,0,75.49574468085106,0
5380-wjkov,masculino,0,nao,nao,34,sim,sim,fibra_otica,nao,sim,sim,nao,sim,sim,mensal,sim,cheque_eletronico,106.35,3549.25,1,101.40714285714286,0
8168-uqwwf,feminino,0,nao,nao,11,sim,sim,fibra_otica,nao,nao,sim,nao,sim,sim,mensal,sim,transferencia_bancaria,97.85,1105.4,1,92.11666666666667,0
8865-tnmnx,masculino,0,sim,sim,10,sim,nao,dsl,nao,sim,nao,nao,nao,nao,um_ano,nao,cheque_enviado,49.55,475.7,0,43.24545454545454,0
9489-dedvp,feminino,0,sim,sim,70,sim,sim,dsl,sim,sim,nao,nao,sim,nao,dois_anos,sim,cartao_credito,69.2,4872.35,0,68.62464788732395,0
9867-jczsp,feminino,0,sim,sim,17,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,um_ano,nao,cheque_enviado,20.75,418.25,0,23.23611111111111,0
4671-vjlcl,feminino,0,nao,nao,63,sim,sim,dsl,sim,sim,sim,sim,sim,nao,dois_anos,sim,cartao_credito,79.85,4861.45,0,75.96015625,0
4080-iiard,feminino,0,sim,nao,13,sim,sim,dsl,sim,sim,nao,sim,sim,nao,mensal,sim,cheque_eletronico,76.2,981.45,0,70.10357142857143,0
3714-ntnfo,feminino,0,nao,nao,49,sim,sim,fibra_otica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque_eletronico,84.5,3906.7,0,78.134,0
5948-ujzlf,masculino,0,nao,nao,2,sim,nao,dsl,nao,sim,nao,nao,nao,nao,mensal,nao,cheque_enviado,49.25,97.0,0,32.333333333333336,1
7760-oypdy,feminino,0,nao,nao,2,sim,nao,fibra_otica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque_eletronico,80.65,144.15,1,48.050000000000004,1
7639-liayi,masculino,0,nao,nao,52,sim,sim,dsl,sim,nao,nao,sim,sim,sim,dois_anos,sim,cartao_credito,79.75,4217.8,0,79.5811320754717,0
2954-pibko,feminino,0,sim,sim,69,sim,sim,dsl,sim,nao,sim,sim,nao,nao,dois_anos,sim,cartao_credito,64.15,4254.1,0,60.77285714285715,0
8012-soudq,feminino,1,nao,nao,43,sim,sim,fibra_otica,nao,sim,nao,nao,sim,nao,mensal,sim,cheque_eletronico,90.25,3838.75,0,87.24431818181819,0
9420-lojkx,feminino,0,nao,nao,15,sim,nao,fibra_otica,sim,sim,nao,nao,sim,sim,mensal,sim,cartao_credito,99.1,1426.4,1,89.15,0
6575-suvoi,feminino,1,sim,nao,25,sim,sim,dsl,sim,nao,nao,sim,sim,nao,mensal,sim,cartao_credito,69.5,1752.65,0,67.40961538461539,0
7495-ookfy,feminino,1,sim,nao,8,sim,sim,fibra_otica,nao,sim,nao,nao,nao,nao,mensal,sim,cartao_credito,80.65,633.3,1,70.36666666666666,0
4667-qonea,feminino,1,sim,sim,60,sim,nao,dsl,sim,sim,sim,sim,nao,sim,um_ano,sim,cartao_credito,74.85,4456.35,0,73.05491803278689,0
1658-bygoy,masculino,1,nao,nao,18,sim,sim,fibra_otica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque_eletronico,95.45,1752.55,1,92.23947368421052,0
8769-kktph,feminino,0,sim,sim,63,sim,sim,fibra_otica,sim,nao,nao,nao,sim,sim,um_ano,sim,cartao_credito,99.65,6311.2,0,98.6125,0
5067-xjqfu,masculino,1,sim,sim,66,sim,sim,fibra_otica,nao,sim,sim,sim,sim,sim,um_ano,sim,cheque_eletronico,108.45,7076.35,0,105.61716417910448,0
3957-sqxml,feminino,0,sim,sim,34,sim,sim,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,cartao_credito,24.95,894.3,0,25.55142857142857,0
5954-bdfsg,feminino,0,nao,nao,72,sim,sim,fibra_otica,nao,nao,sim,sim,sim,sim,dois_anos,sim,cartao_credito,107.5,7853.7,0,107.58493150684932,0
0434-csfon,feminino,0,sim,nao,47,sim,sim,fibra_otica,nao,nao,sim,nao,sim,sim,mensal,sim,cheque_eletronico,100.5,4707.1,0,98.06458333333335,0
1215-figmp,masculino,0,nao,nao,60,sim,sim,fibra_otica,nao,sim,nao,nao,sim,nao,mensal,sim,transferencia_bancaria,89.9,5450.7,0,89.35573770491803,0
0526-sxdjp,masculino,0,sim,nao,72,nao,sem_servico_telefone,dsl,sim,sim,sim,nao,nao,nao,dois_anos,nao,transferencia_bancaria,42.1,2962.0,0,40.57534246575342,0
0557-askvu,feminino,0,sim,sim,18,sim,nao,dsl,nao,nao,sim,sim,nao,nao,um_ano,sim,cartao_credito,54.4,957.1,0,50.373684210526314,0
5698-bqjoh,feminino,0,nao,nao,9,sim,sim,fibra_otica,nao,nao,nao,nao,sim,sim,mensal,nao,cheque_eletronico,94.4,857.25,1,85.725,0
5122-cyfxa,feminino,0,nao,nao,3,sim,nao,dsl,nao,sim,nao,sim,sim,sim,mensal,sim,cheque_eletronico,75.3,244.1,0,61.025,1
8627-zygsz,masculino,0,sim,nao,47,sim,sim,fibra_otica,nao,sim,nao,nao,nao,nao,um_ano,sim,cheque_eletronico,78.9,3650.35,0,76.04895833333333,0
3410-yoqbq,feminino,0,nao,nao,31,sim,nao,dsl,nao,sim,sim,sim,sim,sim,dois_anos,nao,cheque_enviado,79.2,2497.2,0,78.0375,0
3170-nmyvv,feminino,0,sim,sim,50,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,transferencia_bancaria,20.15,930.9,0,18.25294117647059,0
7410-oiedu,masculino,0,nao,nao,10,sim,nao,fibra_otica,sim,nao,sim,nao,nao,nao,mensal,sim,cheque_enviado,79.85,887.35,0,80.66818181818182,0
2273-qckxa,masculino,0,nao,nao,1,sim,nao,dsl,nao,nao,nao,sim,nao,nao,mensal,nao,cheque_enviado,49.05,49.05,0,24.525,1
0731-ebjqb,feminino,0,sim,sim,52,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,um_ano,sim,cheque_eletronico,20.4,1090.65,0,20.578301886792456,0
1891-qrqsa,masculino,1,sim,sim,64,sim,sim,fibra_otica,sim,nao,sim,sim,sim,sim,dois_anos,sim,transferencia_bancaria,111.6,7099.0,0,109.21538461538462,0
8028-pnxhq,masculino,0,sim,sim,62,sim,sim,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,sim,transferencia_bancaria,24.25,1424.6,0,22.61269841269841,0
5630-ahzil,feminino,0,nao,sim,3,sim,nao,dsl,sim,nao,nao,sim,nao,sim,mensal,sim,transferencia_bancaria,64.5,177.4,0,44.35,1
2673-cxqeu,feminino,1,nao,nao,56,sim,sim,fibra_otica,sim,sim,sim,nao,sim,sim,um_ano,nao,cheque_eletronico,110.5,6139.5,0,107.71052631578948,0
6416-jnvrk,feminino,0,nao,nao,46,sim,nao,dsl,nao,nao,nao,nao,nao,sim,um_ano,nao,cartao_credito,55.65,2688.85,0,57.2095744680851,0
5590-zskrv,feminino,0,sim,sim,8,sim,nao,dsl,sim,sim,nao,nao,nao,nao,mensal,nao,cheque_enviado,54.65,482.25,0,53.583333333333336,0
0191-zhskz,masculino,1,nao,nao,30,sim,nao,dsl,sim,sim,nao,nao,sim,sim,mensal,sim,cheque_eletronico,74.75,2111.3,0,68.10645161290323,0
3887-pbqao,feminino,0,sim,sim,45,sim,sim,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,um_ano,sim,cartao_credito,25.9,1216.6,0,26.44782608695652,0
5919-tmrgd,feminino,0,nao,sim,1,sim,nao,fibra_otica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque_eletronico,79.35,79.35,1,39.675,1
8108-uxrqn,feminino,0,sim,sim,11,nao,sem_servico_telefone,dsl,sim,nao,nao,nao,sim,sim,mensal,nao,cheque_eletronico,50.55,565.35,0,47.112500000000004,0
9191-myqkx,feminino,0,sim,nao,7,sim,nao,fibra_otica,nao,nao,sim,nao,nao,nao,mensal,sim,transferencia_bancaria,75.15,496.9,1,62.1125,0
9919-ylnng,feminino,0,nao,nao,42,sim,nao,fibra_otica,nao,sim,sim,sim,sim,sim,mensal,sim,transferencia_bancaria,103.8,4327.5,0,100.63953488372093,0
0318-zopws,feminino,0,sim,nao,49,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,sim,transferencia_bancaria,20.15,973.35,0,19.467,0
4445-zjnmu,masculino,0,nao,nao,9,sim,sim,fibra_otica,nao,sim,nao,nao,sim,sim,mensal,sim,cartao_credito,99.3,918.75,0,91.875,0
4808-ynleu,feminino,0,sim,nao,35,sim,nao,dsl,sim,nao,nao,nao,sim,nao,um_ano,sim,transferencia_bancaria,62.15,2215.45,0,61.540277777777774,0
1862-qrwpe,feminino,0,sim,sim,48,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,transferencia_bancaria,20.65,1057.0,0,21.571428571428573,0
2796-nnufi,feminino,0,sim,sim,46,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,sim,cheque_enviado,19.95,927.1,0,19.72553191489362,0
3016-ksvcp,masculino,0,sim,nao,29,nao,sem_servico_telefone,dsl,nao,nao,nao,nao,sim,nao,mensal,nao,cheque_enviado,33.75,1009.25,0,33.641666666666666,0
4767-hzzhq,masculino,0,sim,sim,30,sim,nao,fibra_otica,nao,sim,sim,nao,nao,nao,mensal,nao,transferencia_bancaria,82.05,2570.2,0,82.90967741935484,0
2424-wvhpl,masculino,1,nao,nao,1,sim,nao,fibra_otica,nao,nao,nao,sim,nao,nao,mensal,nao,cheque_eletronico,74.7,74.7,0,37.35,1
7233-pahhl,masculino,0,sim,sim,66,sim,sim,dsl,sim,nao,sim,sim,sim,sim,dois_anos,sim,cheque_enviado,84.0,5714.25,0,85.28731343283582,0
6067-ngceu,feminino,0,nao,nao,65,sim,sim,fibra_otica,sim,sim,sim,nao,sim,sim,mensal,sim,cartao_credito,111.05,7107.0,0,107.68181818181819,0
9848-jqjtx,masculino,0,nao,nao,72,sim,sim,fibra_otica,nao,sim,sim,nao,sim,sim,dois_anos,sim,transferencia_bancaria,100.9,7459.05,0,102.17876712328767,0
8637-xjivr,feminino,0,nao,nao,12,sim,sim,fibra_otica,sim,nao,nao,nao,nao,nao,mensal,sim,cheque_eletronico,78.95,927.35,1,71.33461538461539,0
9803-ftjcg,masculino,0,sim,sim,71,sim,sim,dsl,sim,sim,nao,sim,nao,nao,um_ano,sim,cartao_credito,66.85,4748.7,0,65.95416666666667,0
0278-yxoog,masculino,0,nao,nao,5,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,cheque_enviado,21.05,113.85,1,18.974999999999998,1
3212-kxocr,masculino,0,nao,nao,52,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,transferencia_bancaria,21.0,1107.2,0,20.89056603773585,0
4598-xlknj,feminino,1,sim,nao,25,sim,nao,fibra_otica,nao,sim,sim,nao,sim,sim,mensal,sim,cheque_eletronico,98.5,2514.5,1,96.71153846153847,0
6380-arceh,masculino,0,nao,nao,1,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,cheque_enviado,20.2,20.2,0,10.1,1
3679-xaspy,feminino,0,sim,sim,1,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,cheque_eletronico,19.45,19.45,0,9.725,1
7123-wquhx,masculino,0,nao,nao,38,sim,sim,fibra_otica,nao,nao,sim,sim,sim,nao,um_ano,nao,transferencia_bancaria,95.0,3605.6,0,92.45128205128205,0
5386-thslq,feminino,1,sim,nao,66,nao,sem_servico_telefone,dsl,nao,sim,sim,nao,sim,nao,um_ano,nao,transferencia_bancaria,45.55,3027.25,0,45.18283582089552,0
3192-nqeca,masculino,0,sim,nao,68,sim,sim,fibra_otica,nao,sim,sim,sim,sim,sim,dois_anos,sim,transferencia_bancaria,110.0,7611.85,1,110.31666666666668,0
6180-ybiqi,masculino,0,nao,nao,5,nao,sem_servico_telefone,dsl,nao,nao,nao,nao,nao,nao,mensal,nao,cheque_enviado,24.3,100.2,0,16.7,1
6728-dkuco,feminino,0,sim,sim,72,sim,sim,fibra_otica,sim,sim,nao,nao,sim,sim,um_ano,sim,cheque_eletronico,104.15,7303.05,0,100.04178082191781,0
9750-boohv,feminino,0,nao,nao,32,nao,sem_servico_telefone,dsl,sim,nao,nao,nao,nao,nao,um_ano,nao,cheque_enviado,30.15,927.65,0,28.11060606060606,0
8597-cwyhh,masculino,0,nao,nao,43,sim,sim,fibra_otica,nao,nao,nao,nao,sim,sim,um_ano,nao,cheque_enviado,94.35,3921.3,0,89.12045454545455,0
2848-yxsmw,masculino,0,sim,sim,72,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,cartao_credito,19.4,1363.25,0,18.674657534246574,0
0486-heczi,masculino,0,sim,nao,55,sim,sim,fibra_otica,sim,sim,nao,nao,sim,nao,mensal,sim,cheque_eletronico,96.75,5238.9,1,93.55178571428571,0
4549-zdqyy,feminino,0,nao,nao,52,sim,nao,dsl,sim,nao,sim,sim,nao,nao,um_ano,nao,cartao_credito,57.95,3042.25,0,57.40094339622642,0
5712-ahqnn,feminino,0,nao,nao,43,sim,nao,fibra_otica,nao,sim,sim,nao,sim,nao,mensal,sim,cheque_eletronico,91.65,3954.1,0,89.86590909090908,0
4846-whafz,feminino,1,sim,nao,37,sim,sim,fibra_otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque_eletronico,76.5,2868.15,1,75.47763157894737,0
5256-skjgo,feminino,0,sim,sim,64,nao,sem_servico_telefone,dsl,nao,sim,nao,sim,sim,sim,dois_anos,sim,cheque_eletronico,54.6,3423.5,0,52.66923076923077,0
3071-vbypo,masculino,0,sim,sim,3,sim,nao,fibra_otica,sim,sim,nao,nao,sim,nao,mensal,nao,cheque_eletronico,89.85,248.4,0,62.1,1
9560-bbzxk,feminino,0,nao,nao,36,nao,sem_servico_telefone,dsl,sim,nao,nao,nao,nao,nao,dois_anos,nao,transferencia_bancaria,31.05,1126.35,0,30.44189189189189,0
5299-ruloa,feminino,0,sim,sim,10,sim,sim,fibra_otica,sim,nao,nao,nao,sim,sim,mensal,sim,cheque_eletronico,100.25,1064.65,1,96.78636363636365,0
8402-ooohj,feminino,0,nao,nao,41,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,cheque_enviado,20.65,835.15,0,19.88452380952381,0
9445-zueqe,masculino,0,sim,sim,27,sim,sim,fibra_otica,nao,sim,nao,sim,nao,nao,mensal,sim,cartao_credito,85.2,2151.6,0,76.84285714285714,0
1091-sozga,feminino,0,sim,sim,56,sim,sim,fibra_otica,nao,nao,sim,nao,sim,sim,um_ano,sim,cartao_credito,99.8,5515.45,0,96.76228070175438,0
2928-hldba,feminino,0,nao,nao,6,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,cheque_enviado,20.7,112.75,0,16.107142857142858,1
0404-swrvg,masculino,0,nao,nao,3,sim,sim,fibra_otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque_eletronico,74.4,229.55,1,57.3875,1
6497-tilvl,feminino,0,sim,sim,7,sim,nao,dsl,sim,nao,nao,nao,nao,nao,mensal,nao,cheque_enviado,50.7,350.35,0,43.79375,0
7219-tlzho,feminino,0,sim,sim,4,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,cheque_enviado,20.85,62.9,0,12.58,1
4622-ynkij,masculino,0,nao,nao,33,sim,nao,fibra_otica,sim,nao,nao,sim,sim,nao,dois_anos,sim,cheque_eletronico,88.95,3027.65,0,89.0485294117647,0
4412-yltkf,feminino,1,nao,nao,27,sim,sim,fibra_otica,nao,nao,sim,nao,nao,nao,mensal,sim,cheque_eletronico,78.05,2135.5,1,76.26785714285714,0
6734-psbaw,masculino,0,sim,nao,72,sim,sim,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,sim,transferencia_bancaria,23.55,1723.95,0,23.615753424657534,0
3930-zgwve,masculino,0,nao,nao,1,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,mensal,nao,cheque_enviado,19.75,19.75,0,9.875,1
2639-ugmaz,masculino,1,nao,nao,71,nao,sem_servico_telefone,dsl,sim,sim,nao,nao,sim,sim,um_ano,sim,cheque_eletronico,56.45,3985.35,0,55.35208333333333,0
2876-gzyzc,feminino,0,nao,nao,13,sim,sim,fibra_otica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque_eletronico,85.95,1215.65,0,86.83214285714287,0
6207-wiolx,feminino,0,sim,sim,25,nao,sem_servico_telefone,dsl,sim,sim,sim,nao,sim,sim,mensal,sim,cartao_credito,58.6,1502.65,1,57.79423076923077,0
8587-xyzsf,masculino,0,nao,nao,67,sim,nao,dsl,nao,nao,nao,sim,nao,nao,dois_anos,nao,transferencia_bancaria,50.55,3260.1,0,47.942647058823525,0
3091-fyhki,masculino,0,nao,nao,1,nao,sem_servico_telefone,dsl,nao,nao,nao,nao,nao,sim,mensal,sim,cheque_eletronico,35.45,35.45,1,17.725,1
2372-hwuhi,masculino,0,nao,nao,2,sim,nao,dsl,nao,nao,nao,nao,nao,nao,mensal,nao,cheque_eletronico,44.35,81.25,1,27.083333333333332,1
7799-lgrdp,feminino,0,nao,nao,43,sim,sim,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,sim,cartao_credito,25.7,1188.2,0,27.004545454545454,0
7850-vwjuu,feminino,0,nao,nao,23,sim,nao,fibra_otica,sim,nao,nao,nao,nao,nao,mensal,sim,transferencia_bancaria,75.0,1778.5,0,74.10416666666667,0
3774-vbnxy,feminino,0,sim,sim,64,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,nao,cheque_enviado,20.2,1277.75,0,19.657692307692308,0
6217-kdywc,masculino,0,nao,sim,57,sim,nao,nao,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,sem_servico_internet,dois_anos,sim,cheque_enviado,19.6,1170.55,0,20.181896551724137,0
0390-dcfdq,feminino,1,sim,nao,1,sim,nao,fibra_otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque_enviado,70.45,70.45,1,35.225,1
3146-msegf,feminino,1,sim,sim,72,sim,sim,dsl,sim,sim,sim,sim,sim,sim,dois_anos,sim,cartao_credito,88.05,6425.65,0,88.02260273972603,0
4080-ogpjl,feminino,0,nao,nao,8,sim,sim,dsl,sim,nao,nao,sim,nao,sim,mensal,nao,cheque_eletronico,71.15,563.65,1,62.62777777777777,0
1095-wgngg,feminino,0,sim,nao,61,sim,sim,fibra_otica,nao,sim,nao,nao,sim,sim,dois_anos,sim,transferencia_bancaria,101.05,5971.25,0,96.31048387096774,0
2636-sjdou,masculino,0,nao,nao,64,sim,sim,fibra_otica,sim,sim,nao,nao,nao,nao,um_ano,sim,cartao_credito,84.3,5289.05,0,81.37,0
